predictor_one	predictor_two	average_corr_one	average_corr_two	raw_permutation_p	fdr_corrected_p
L_DLPFC_T1	R_DLPFC_T1	0.11773606514749624	0.14795708965103735	7.320566989844038e-09	6.222481941367432e-08
L_DLPFC_T1	L_SMA_T1	0.11773606514749624	0.14795708965103735	7.320566989844038e-09	6.222481941367432e-08
L_DLPFC_T1	L_PTL_T1	0.11773606514749624	0.11773606514749624	0.5	0.5
L_DLPFC_T1	L_IFGorb_T1	0.11773606514749624	0.11773606514749624	0.5	0.5
L_DLPFC_T1	R_IFGorb_T1	0.11773606514749624	0.14795708965103735	7.320566989844038e-09	6.222481941367432e-08
R_DLPFC_T1	L_SMA_T1	0.14795708965103735	0.14795708965103735	0.5	0.5
R_DLPFC_T1	L_PTL_T1	0.14795708965103735	0.11773606514749624	7.320566989844038e-09	6.222481941367432e-08
R_DLPFC_T1	L_IFGorb_T1	0.14795708965103735	0.11773606514749624	7.320566989844038e-09	6.222481941367432e-08
R_DLPFC_T1	R_IFGorb_T1	0.14795708965103735	0.14795708965103735	0.5	0.5
L_SMA_T1	L_PTL_T1	0.14795708965103735	0.11773606514749624	7.320566989844038e-09	6.222481941367432e-08
L_SMA_T1	L_IFGorb_T1	0.14795708965103735	0.11773606514749624	7.320566989844038e-09	6.222481941367432e-08
L_SMA_T1	R_IFGorb_T1	0.14795708965103735	0.14795708965103735	0.5	0.5
L_PTL_T1	L_IFGorb_T1	0.11773606514749624	0.11773606514749624	0.5	0.5
L_PTL_T1	R_IFGorb_T1	0.11773606514749624	0.14795708965103735	7.320566989844038e-09	6.222481941367432e-08
L_IFGorb_T1	R_IFGorb_T1	0.11773606514749624	0.14795708965103735	7.320566989844038e-09	6.222481941367432e-08
