target	predictor_one	predictor_two	average_corr_one	average_corr_two	raw_permutation_p	fdr_corrected_p
T1	L_PTL	L_DLPFC	0.14172824742731913	0.14172824742731913	0.5	0.5
T1	L_PTL	L_IFGorb	0.14172824742731913	0.21472731984595703	5.7997854968987215e-21	1.2005555978580354e-18
T1	L_DLPFC	L_IFGorb	0.14172824742731913	0.21472731984595703	5.7997854968987215e-21	1.2005555978580354e-18
T2	L_PTL	L_DLPFC	0.16030749629539467	0.16030749629539467	0.5	0.5
T2	L_PTL	L_IFGorb	0.16030749629539467	0.21964322473876002	1.2768413173498702e-12	1.3910850141653848e-11
T2	L_DLPFC	L_IFGorb	0.16030749629539467	0.21964322473876002	1.2768413173498702e-12	1.3910850141653848e-11
T3	L_PTL	L_DLPFC	0.15123711382432523	0.15123711382432523	0.5	0.5
T3	L_PTL	L_IFGorb	0.15123711382432523	0.19871426710125664	3.891599683074731e-08	2.119897722095972e-07
T3	L_DLPFC	L_IFGorb	0.15123711382432523	0.19871426710125664	3.891599683074731e-08	2.119897722095972e-07
T2-T1	L_PTL	L_DLPFC	0.2698408807172043	0.2698408807172043	0.5	0.5
T2-T1	L_PTL	L_IFGorb	0.2698408807172043	0.23781736326816638	0.0009212651844878132	0.0030270141776028146
T2-T1	L_DLPFC	L_IFGorb	0.2698408807172043	0.23781736326816638	0.0009212651844878132	0.0030270141776028146
T3-T2	L_PTL	L_DLPFC	0.21147389771653552	0.21147389771653552	0.5	0.5
T3-T2	L_PTL	L_IFGorb	0.21147389771653552	0.15479181292463015	1.6324396530847838e-14	1.8773056010475015e-13
T3-T2	L_DLPFC	L_IFGorb	0.21147389771653552	0.15479181292463015	1.6324396530847838e-14	1.8773056010475015e-13
T3-T1	L_PTL	L_DLPFC	0.2570531801429981	0.2570531801429981	0.5	0.5
T3-T1	L_PTL	L_IFGorb	0.2570531801429981	0.22231528777124424	1.4715282270889792e-05	7.810419051472274e-05
T3-T1	L_DLPFC	L_IFGorb	0.2570531801429981	0.22231528777124424	1.4715282270889792e-05	7.810419051472274e-05
