predictor_one	predictor_two	average_corr_one	average_corr_two	raw_permutation_p	fdr_corrected_p
lDLPFC_to_lIFG_T2	lDLPFC_to_lPTL_T2	0.11362338139437518	0.11362338139437518	0.5	0.5
lDLPFC_to_lIFG_T2	rDLPFC_to_lIFG_T2	0.11362338139437518	0.12939902377427734	0.0031893151623214578	0.00665596207788826
lDLPFC_to_lIFG_T2	rDLPFC_to_lPTL_T2	0.11362338139437518	0.09129975487659407	4.742931034596053e-05	0.00012190095384601131
lDLPFC_to_lIFG_T2	lSMA_to_lIFG_T2	0.11362338139437518	0.09129975487659407	4.742931034596053e-05	0.00012190095384601131
lDLPFC_to_lIFG_T2	lSMA_to_lPTL_T2	0.11362338139437518	0.11362338139437518	0.5	0.5
lDLPFC_to_lIFG_T2	lIFG_to_lPTL_T2	0.11362338139437518	0.09859742991939736	0.019045860920456337	0.036568052967276166
lDLPFC_to_lIFG_T2	lPTL_to_lIFG_T2	0.11362338139437518	0.11362338139437518	0.5	0.5
lDLPFC_to_lIFG_T2	rIFG_to_lIFG_T2	0.11362338139437518	0.12939902377427734	0.0031893151623214578	0.00665596207788826
lDLPFC_to_lPTL_T2	rDLPFC_to_lIFG_T2	0.11362338139437518	0.12939902377427734	0.0031893151623214578	0.00665596207788826
lDLPFC_to_lPTL_T2	rDLPFC_to_lPTL_T2	0.11362338139437518	0.09129975487659407	4.742931034596053e-05	0.00012190095384601131
lDLPFC_to_lPTL_T2	lSMA_to_lIFG_T2	0.11362338139437518	0.09129975487659407	4.742931034596053e-05	0.00012190095384601131
lDLPFC_to_lPTL_T2	lSMA_to_lPTL_T2	0.11362338139437518	0.11362338139437518	0.5	0.5
lDLPFC_to_lPTL_T2	lIFG_to_lPTL_T2	0.11362338139437518	0.09859742991939736	0.019045860920456337	0.036568052967276166
lDLPFC_to_lPTL_T2	lPTL_to_lIFG_T2	0.11362338139437518	0.11362338139437518	0.5	0.5
lDLPFC_to_lPTL_T2	rIFG_to_lIFG_T2	0.11362338139437518	0.12939902377427734	0.0031893151623214578	0.00665596207788826
rDLPFC_to_lIFG_T2	rDLPFC_to_lPTL_T2	0.12939902377427734	0.09129975487659407	3.051864936882385e-08	1.9531935596047262e-07
rDLPFC_to_lIFG_T2	lSMA_to_lIFG_T2	0.12939902377427734	0.09129975487659407	3.051864936882385e-08	1.9531935596047262e-07
rDLPFC_to_lIFG_T2	lSMA_to_lPTL_T2	0.12939902377427734	0.11362338139437518	0.0031893151623214578	0.00665596207788826
rDLPFC_to_lIFG_T2	lIFG_to_lPTL_T2	0.12939902377427734	0.09859742991939736	0.00013377043599071883	0.0003210490463777252
rDLPFC_to_lIFG_T2	lPTL_to_lIFG_T2	0.12939902377427734	0.11362338139437518	0.0031893151623214578	0.00665596207788826
rDLPFC_to_lIFG_T2	rIFG_to_lIFG_T2	0.12939902377427734	0.12939902377427734	0.5	0.5
rDLPFC_to_lPTL_T2	lSMA_to_lIFG_T2	0.09129975487659407	0.09129975487659407	0.5	0.5
rDLPFC_to_lPTL_T2	lSMA_to_lPTL_T2	0.09129975487659407	0.11362338139437518	4.742931034596053e-05	0.00012190095384601131
rDLPFC_to_lPTL_T2	lIFG_to_lPTL_T2	0.09129975487659407	0.09859742991939736	0.19204480291239873	0.26527051913079536
rDLPFC_to_lPTL_T2	lPTL_to_lIFG_T2	0.09129975487659407	0.11362338139437518	4.742931034596053e-05	0.00012190095384601131
rDLPFC_to_lPTL_T2	rIFG_to_lIFG_T2	0.09129975487659407	0.12939902377427734	3.051864936882385e-08	1.9531935596047262e-07
lSMA_to_lIFG_T2	lSMA_to_lPTL_T2	0.09129975487659407	0.11362338139437518	4.742931034596053e-05	0.00012190095384601131
lSMA_to_lIFG_T2	lIFG_to_lPTL_T2	0.09129975487659407	0.09859742991939736	0.19204480291239873	0.26527051913079536
lSMA_to_lIFG_T2	lPTL_to_lIFG_T2	0.09129975487659407	0.11362338139437518	4.742931034596053e-05	0.00012190095384601131
lSMA_to_lIFG_T2	rIFG_to_lIFG_T2	0.09129975487659407	0.12939902377427734	3.051864936882385e-08	1.9531935596047262e-07
lSMA_to_lPTL_T2	lIFG_to_lPTL_T2	0.11362338139437518	0.09859742991939736	0.019045860920456337	0.036568052967276166
lSMA_to_lPTL_T2	lPTL_to_lIFG_T2	0.11362338139437518	0.11362338139437518	0.5	0.5
lSMA_to_lPTL_T2	rIFG_to_lIFG_T2	0.11362338139437518	0.12939902377427734	0.0031893151623214578	0.00665596207788826
lIFG_to_lPTL_T2	lPTL_to_lIFG_T2	0.09859742991939736	0.11362338139437518	0.019045860920456337	0.036568052967276166
lIFG_to_lPTL_T2	rIFG_to_lIFG_T2	0.09859742991939736	0.12939902377427734	0.00013377043599071883	0.0003210490463777252
lPTL_to_lIFG_T2	rIFG_to_lIFG_T2	0.11362338139437518	0.12939902377427734	0.0031893151623214578	0.00665596207788826
